"usd_cleaning_fee","f_property_type","f_room_type","f_room_type2","f_cancellation_policy","f_bed_type","f_neighbourhood_cleansed","usd_price_day","p_host_response_rate","n_accommodates","n_bathrooms","n_review_scores_rating","n_number_of_reviews","n_guests_included","n_reviews_per_month","n_extra_people","n_minimum_nights","n_beds","n_days_since","d_24hourcheckin","d_airconditioning","d_breakfast","d_buzzerwirelessintercom","d_cabletv","d_carbonmonoxidedetector","d_cats","d_dogs","d_doorman","d_doormanentry","d_dryer","d_elevatorinbuilding","d_essentials","d_familykidfriendly","d_fireextinguisher","d_firstaidkit","d_freeparkingonpremises","d_freeparkingonstreet","d_gym","d_hairdryer","d_hangers","d_heating","d_hottub","d_indoorfireplace","d_internet","d_iron","d_keypad","d_kitchen","d_laptopfriendlyworkspace","d_lockonbedroomdoor","d_lockbox","d_otherpets","d_paidparkingoffpremises","d_petsallowed","d_petsliveonthisproperty","d_pool","d_privateentrance","d_privatelivingroom","d_safetycard","d_selfcheckin","d_shampoo","d_smartlock","d_smokedetector","d_smokingallowed","d_suitableforevents","d_tv","d_washer","d_washerdryer","d_wheelchairaccessible","d_wirelessinternet","price","neighbourhood_cleansed","cancellation_policy","room_type","property_type","ln_price","n_accommodates2","ln_accommodates","ln_accommodates2","ln_beds","f_bathroom","ln_number_of_reviews","f_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","n_days_since2","n_days_since3","ln_review_scores_rating","f_minimum_nights"
NA,"Apartment","Private room","Private","flexible","Real Bed","Hackney",65,100,2,1.5,92,3,1,0.06,10,1,1,1467,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65,"Hackney","flexible","Private room","Apartment",4.17438726989564,4,0.693147180559945,0.480453013918201,0,1,1.38629436111989,1,7.29097477814298,53.1583132155171,387.57592090296,2152089,3157114563,4.52178857704904,1
NA,"House","Private room","Private","moderate","Real Bed","Hackney",30,NA,2,3,90,2,1,0.1,0,1,1,573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,"Hackney","moderate","Private room","House",3.40119738166216,4,0.693147180559945,0.480453013918201,0,2,1.09861228866811,1,6.35088571671474,40.3337493867713,256.155032881998,328329,188132517,4.49980967033027,1
NA,"Apartment","Private room","Private","moderate","Couch","Hackney",150,100,7,1.5,97,32,1,0.55,10,2,5,1739,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,150,"Hackney","moderate","Private room","Apartment",5.01063529409626,49,1.94591014905531,3.78656630819647,1.6094379124341,1,3.49650756146648,1,7.46106551435428,55.6674986094867,415.338854145607,3024121,5258946419,4.57471097850338,2
25,"House","Private room","Private","moderate","Real Bed","Hackney",29,100,2,1.5,94,52,1,2.62,0,1,1,593,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,29,"Hackney","moderate","Private room","House",3.36729582998647,4,0.693147180559945,0.480453013918201,0,1,3.97029191355212,2,6.38519439899773,40.7707075129919,260.328893255131,351649,208527857,4.54329478227,1
20,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",65,100,2,1,88,55,3,1.13,0,2,2,1463,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,65,"Hackney","moderate","Entire home/apt","Apartment",4.17438726989564,4,0.693147180559945,0.480453013918201,0.693147180559945,1,4.02535169073515,2,7.28824440102012,53.1185064490012,387.140657217484,2140369,3131359847,4.47733681447821,2
30,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",165,100,5,2,100,2,1,0.08,0,2,2,797,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,165,"Hackney","strict","Entire home/apt","Apartment",5.10594547390058,25,1.6094379124341,2.59029039398023,0.693147180559945,2,1.09861228866811,1,6.68085467879022,44.6338192391131,298.192060095906,635209,506261573,4.60517018598809,2
30,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",95,NA,3,1,96,27,1,0.78,0,2,1,1037,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,95,"Hackney","moderate","Entire home/apt","Apartment",4.55387689160054,9,1.09861228866811,1.20694896081258,0,1,3.3322045101752,1,6.94408720822953,48.220347155497,334.846295858873,1075369,1115157653,4.56434819146784,2
15,"House","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",65,100,4,1,100,3,2,0.69,5,2,2,130,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,65,"Hackney","moderate","Entire home/apt","House",4.17438726989564,16,1.38629436111989,1.92181205567281,0.693147180559945,1,1.38629436111989,1,4.86753445045558,23.6928916263719,115.325966222276,16900,2197000,4.60517018598809,2
NA,"Apartment","Private room","Private","moderate","Real Bed","Hackney",28,100,2,1,90,2,1,0.34,0,1,1,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,28,"Hackney","moderate","Private room","Apartment",3.3322045101752,4,0.693147180559945,0.480453013918201,0,1,1.09861228866811,1,5.15905529921453,26.6158515803535,137.31265013873,30276,5268024,4.49980967033027,1
20,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",95,100,5,1,100,5,5,0.25,10,5,3,600,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,95,"Hackney","moderate","Entire home/apt","Apartment",4.55387689160054,25,1.6094379124341,2.59029039398023,1.09861228866811,1,1.79175946922805,1,6.39692965521615,40.9207090137838,261.766897002744,360000,2.16e+08,4.60517018598809,3
NA,"Apartment","Private room","Private","moderate","Real Bed","Hackney",25,89,2,1,93,6,1,1.67,0,1,1,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25,"Hackney","moderate","Private room","Apartment",3.2188758248682,4,0.693147180559945,0.480453013918201,0,1,1.94591014905531,1,4.67282883446191,21.8353293161786,102.032756438611,11449,1225043,4.53259949315326,1
75,"House","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",175,100,6,1,98,19,2,1.16,0,2,4,492,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,175,"Hackney","strict","Entire home/apt","House",5.16478597392351,36,1.79175946922805,3.2104019955684,1.38629436111989,1,2.99573227355399,1,6.19847871649231,38.4211383988081,238.152608628418,242064,119095488,4.58496747867057,2
36,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",95,100,2,1,94,24,1,1.94,0,2,1,371,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,"Hackney","moderate","Entire home/apt","Apartment",4.55387689160054,4,0.693147180559945,0.480453013918201,0,1,3.2188758248682,1,5.91620206260743,35.0014468456005,207.075632022186,137641,51064811,4.54329478227,2
20,"House","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",80,100,2,1,98,53,2,1.29,10,3,1,1230,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,80,"Hackney","strict","Entire home/apt","House",4.38202663467388,4,0.693147180559945,0.480453013918201,0,1,3.98898404656427,2,7.11476944836646,50.6199443034088,360.149233207905,1512900,1860867000,4.58496747867057,3
NA,"Apartment","Private room","Private","flexible","Real Bed","Hackney",30,100,2,1,100,1,1,0.23,15,1,1,128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,"Hackney","flexible","Private room","Apartment",3.40119738166216,4,0.693147180559945,0.480453013918201,0,1,0.693147180559945,1,4.85203026391962,23.5421976819919,114.227455632203,16384,2097152,4.60517018598809,1
12,"Apartment","Private room","Private","moderate","Real Bed","Hackney",29,NA,2,1,100,7,1,0.65,0,2,1,319,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,29,"Hackney","moderate","Private room","Apartment",3.36729582998647,4,0.693147180559945,0.480453013918201,0,1,2.07944154167984,1,5.76519110278484,33.2374284516295,191.620126788782,101761,32461759,4.60517018598809,2
NA,"Apartment","Private room","Private","strict","Real Bed","Hackney",38,NA,2,1,92,10,1,0.88,0,1,1,339,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,38,"Hackney","strict","Private room","Apartment",3.63758615972639,4,0.693147180559945,0.480453013918201,0,1,2.39789527279837,1,5.82600010738045,33.942277251197,197.747710910211,114921,38958219,4.52178857704904,1
NA,"House","Private room","Private","flexible","Real Bed","Hackney",30,NA,2,3,100,1,1,0.18,5,2,1,169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,"Hackney","flexible","Private room","House",3.40119738166216,4,0.693147180559945,0.480453013918201,0,2,0.693147180559945,1,5.12989871492307,26.3158608253694,134.997700630157,28561,4826809,4.60517018598809,2
35,"House","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",190,67,4,1,96,11,4,0.26,15,2,2,1251,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,190,"Hackney","flexible","Entire home/apt","House",5.24702407216049,16,1.38629436111989,1.92181205567281,0.693147180559945,1,2.484906649788,1,7.13169851046691,50.861123644196,362.726199733986,1565001,1957816251,4.56434819146784,2
NA,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",115,100,5,1,95,4,4,0.18,20,3,2,656,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,115,"Hackney","strict","Entire home/apt","Apartment",4.74493212836325,25,1.6094379124341,2.59029039398023,0.693147180559945,1,1.6094379124341,1,6.48616078894409,42.0702817800358,272.874612061497,430336,282300416,4.55387689160054,3
NA,"House","Private room","Private","flexible","Real Bed","Hackney",35,20,2,1,100,1,1,0.52,0,1,1,57,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,35,"Hackney","flexible","Private room","House",3.55534806148941,4,0.693147180559945,0.480453013918201,0,1,0.693147180559945,1,4.04305126783455,16.3462635543386,66.0887815877262,3249,185193,4.60517018598809,1
48,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",79,NA,2,1,92,10,1,0.85,0,3,1,353,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,79,"Hackney","strict","Entire home/apt","Apartment",4.36944785246702,4,0.693147180559945,0.480453013918201,0,1,2.39789527279837,1,5.8664680569333,34.4154474630187,201.897123206865,124609,43986977,4.52178857704904,3
NA,"House","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",100,NA,2,1.5,100,1,1,0.04,0,1,1,742,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100,"Hackney","flexible","Entire home/apt","House",4.60517018598809,4,0.693147180559945,0.480453013918201,0,1,0.693147180559945,1,6.60934924316738,43.6834974181572,288.719490599602,550564,408518488,4.60517018598809,1
20,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",69,100,4,1,95,73,1,1.61,0,3,2,1357,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,69,"Hackney","moderate","Entire home/apt","Apartment",4.23410650459726,16,1.38629436111989,1.92181205567281,0.693147180559945,1,4.30406509320417,2,7.21303165983487,52.0278257257802,375.278354152423,1841449,2498846293,4.55387689160054,3
NA,"House","Private room","Private","flexible","Real Bed","Hackney",60,100,3,1,100,1,1,0.48,0,4,3,61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,60,"Hackney","flexible","Private room","House",4.0943445622221,9,1.09861228866811,1.20694896081258,NA,1,0.693147180559945,1,4.11087386417331,16.8992839271432,69.4708246193372,3721,226981,4.60517018598809,3
10,"Apartment","Private room","Private","strict","Real Bed","Hackney",29,100,1,1,93,125,1,4.15,0,2,1,902,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,29,"Hackney","strict","Private room","Apartment",3.36729582998647,1,0,0,0,1,4.83628190695148,2,6.80461452006262,46.3027787666471,315.072560714774,813604,733870808,4.53259949315326,2
20,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",55,100,2,1,93,3,2,0.87,0,5,1,103,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,55,"Hackney","strict","Entire home/apt","Apartment",4.00733318523247,4,0.693147180559945,0.480453013918201,0,1,1.38629436111989,1,4.63472898822964,21.4807127943361,99.5572822757448,10609,1092727,4.53259949315326,3
15,"Apartment","Private room","Private","strict","Real Bed","Hackney",33,100,2,1.5,84,12,1,2.02,0,2,1,176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,33,"Hackney","strict","Private room","Apartment",3.49650756146648,4,0.693147180559945,0.480453013918201,0,1,2.56494935746154,1,5.17048399503815,26.7339047429457,138.227226598275,30976,5451776,4.43081679884331,2
NA,"House","Private room","Private","strict","Real Bed","Hackney",39,100,2,1.5,70,4,1,0.43,0,2,1,280,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,39,"Hackney","strict","Private room","House",3.66356164612965,4,0.693147180559945,0.480453013918201,0,1,1.6094379124341,1,5.63478960316925,31.7508538719843,178.909381289603,78400,21952000,4.24849524204936,2
40,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",95,100,4,1,90,15,1,1.07,7,2,2,420,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,"Hackney","strict","Entire home/apt","Apartment",4.55387689160054,16,1.38629436111989,1.92181205567281,0.693147180559945,1,2.77258872223978,1,6.04025471127741,36.484676977109,220.376742000417,176400,74088000,4.49980967033027,2
15,"Apartment","Private room","Private","strict","Real Bed","Hackney",39,100,2,2,50,2,2,0.23,10,1,1,257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,"Hackney","strict","Private room","Apartment",3.66356164612965,4,0.693147180559945,0.480453013918201,0,2,1.09861228866811,1,5.54907608489522,30.7922453959561,170.868512526925,66049,16974593,3.91202300542815,1
15,"Apartment","Private room","Private","strict","Real Bed","Hackney",33,99,2,1,71,11,1,3.33,0,2,1,98,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33,"Hackney","strict","Private room","Apartment",3.49650756146648,4,0.693147180559945,0.480453013918201,0,1,2.484906649788,1,4.58496747867057,21.0219267804668,96.3848506274342,9604,941192,4.26267987704132,2
35,"Apartment","Private room","Private","strict","Real Bed","Hackney",80,100,2,0.5,93,36,1,0.55,30,1,1,1956,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,80,"Hackney","strict","Private room","Apartment",4.38202663467388,4,0.693147180559945,0.480453013918201,0,0,3.61091791264422,1,7.57865685059476,57.4360396590669,435.28803543322,3825936,7483530816,4.53259949315326,1
15,"House","Private room","Private","strict","Real Bed","Hackney",59,100,2,1,100,3,1,0.3,0,2,1,300,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,59,"Hackney","strict","Private room","House",4.07753744390572,4,0.693147180559945,0.480453013918201,0,1,1.38629436111989,1,5.7037824746562,32.5331345181952,185.561922510515,90000,2.7e+07,4.60517018598809,2
35,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",90,NA,2,1,90,4,1,0.19,0,5,1,645,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,"Hackney","moderate","Entire home/apt","Apartment",4.49980967033027,4,0.693147180559945,0.480453013918201,0,1,1.6094379124341,1,6.46925031679577,41.8511996613622,270.745886667551,416025,268336125,4.49980967033027,3
NA,"Apartment","Private room","Private","moderate","Real Bed","Hackney",54,100,2,1,96,63,1,6.36,25,1,1,296,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,54,"Hackney","moderate","Private room","Apartment",3.98898404656427,4,0.693147180559945,0.480453013918201,0,1,4.15888308335967,2,5.69035945432406,32.3801907194152,184.254924393041,87616,25934336,4.56434819146784,1
30,"House","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",85,NA,4,1,94,10,3,1.08,10,1,2,278,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,85,"Hackney","flexible","Entire home/apt","House",4.44265125649032,16,1.38629436111989,1.92181205567281,0.693147180559945,1,2.39789527279837,1,5.62762111369064,31.6701193992566,178.22743260436,77284,21484952,4.54329478227,1
25,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",89,NA,2,1,98,8,2,0.22,10,1,1,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,89,"Hackney","moderate","Entire home/apt","Apartment",4.48863636973214,4,0.693147180559945,0.480453013918201,0,1,2.19722457733622,1,7.00850518208228,49.1191448872742,344.251781481911,1223236,1352899016,4.58496747867057,1
15,"Apartment","Private room","Private","flexible","Real Bed","Hackney",52,100,2,1,100,16,1,5.58,0,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,52,"Hackney","flexible","Private room","Apartment",3.95124371858143,4,0.693147180559945,0.480453013918201,0,1,2.83321334405622,1,4.43081679884331,19.6321375049121,86.9864046539664,7056,592704,4.60517018598809,1
45,"House","Private room","Private","strict","Real Bed","Hackney",55,100,2,1,92,12,2,0.92,0,3,1,389,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,55,"Hackney","strict","Private room","House",4.00733318523247,4,0.693147180559945,0.480453013918201,0,1,2.56494935746154,1,5.96357934361845,35.5642785876326,212.090397155898,151321,58863869,4.52178857704904,3
5,"Apartment","Private room","Private","moderate","Real Bed","Hackney",32,100,2,1,91,17,1,2.22,8,2,1,229,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,32,"Hackney","moderate","Private room","Apartment",3.46573590279973,4,0.693147180559945,0.480453013918201,0,1,2.89037175789616,1,5.43372200355424,29.5253348119095,160.432461429779,52441,12008989,4.51085950651685,2
15,"House","Private room","Private","strict","Real Bed","Hackney",28,93,2,1.5,87,11,1,1.2,12,1,1,274,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,28,"Hackney","strict","Private room","House",3.3322045101752,4,0.693147180559945,0.480453013918201,0,1,2.484906649788,1,5.61312810638807,31.5072071387237,176.853989944161,75076,20570824,4.46590811865458,1
40,"House","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",200,100,5,1.5,98,8,4,1.14,0,2,5,210,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200,"Hackney","strict","Entire home/apt","House",5.29831736654804,25,1.6094379124341,2.59029039398023,1.6094379124341,1,2.19722457733622,1,5.34710753071747,28.5915589450555,152.882140150058,44100,9261000,4.58496747867057,2
NA,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",99,100,3,1,84,5,2,0.24,20,3,1,615,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,99,"Hackney","strict","Entire home/apt","Apartment",4.59511985013459,9,1.09861228866811,1.20694896081258,0,1,1.79175946922805,1,6.42162226780652,41.2372325503885,264.809930808291,378225,232608375,4.43081679884331,3
NA,"Apartment","Private room","Private","flexible","Real Bed","Hackney",32,100,1,1,100,1,1,0.09,0,4,1,319,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,32,"Hackney","flexible","Private room","Apartment",3.46573590279973,1,0,0,0,1,0.693147180559945,1,5.76519110278484,33.2374284516295,191.620126788782,101761,32461759,4.60517018598809,3
30,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",100,100,2,1,90,2,1,0.2,30,3,1,295,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,100,"Hackney","strict","Entire home/apt","Apartment",4.60517018598809,4,0.693147180559945,0.480453013918201,0,1,1.09861228866811,1,5.68697535633982,32.3416887036164,183.926386639881,87025,25672375,4.49980967033027,3
NA,"Apartment","Private room","Private","flexible","Real Bed","Hackney",30,100,2,1,97,6,1,0.49,0,3,1,370,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,30,"Hackney","flexible","Private room","Apartment",3.40119738166216,4,0.693147180559945,0.480453013918201,0,1,1.94591014905531,1,5.91350300563827,34.9695177976929,206.792348602378,136900,50653000,4.57471097850338,3
NA,"Apartment","Private room","Private","strict","Real Bed","Hackney",49,NA,2,1,100,2,1,0.09,5,7,1,686,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,49,"Hackney","strict","Private room","Apartment",3.89182029811063,4,0.693147180559945,0.480453013918201,0,1,1.09861228866811,1,6.53087762772588,42.6523625883305,278.55736059778,470596,322828856,4.60517018598809,3
60,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",95,100,3,1,100,4,1,0.16,0,7,1,744,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,95,"Hackney","strict","Entire home/apt","Apartment",4.55387689160054,9,1.09861228866811,1.20694896081258,0,1,1.6094379124341,1,6.61204103483309,43.7190866463167,289.072394910869,553536,411830784,4.60517018598809,3
15,"House","Private room","Private","moderate","Real Bed","Hackney",45,63,2,1,99,30,1,1.07,0,1,1,839,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,45,"Hackney","moderate","Private room","House",3.80666248977032,4,0.693147180559945,0.480453013918201,0,1,3.43398720448515,1,6.73221070646721,45.3226609962717,305.121703604684,703921,590589719,4.59511985013459,1
